,gps_time,lat,lon,alt,temp,wd_corr,ws_corr,pressure,hdop,lgr_time,ch4_d,co2_d,co_d,h2o,avg,comp_time;
0,2017-07-19 18:39:02.800000,43.66038255555554,-79.39827744444443,160.18,26.48,244.495,4.06,1002.613,2.487,2017-07-19 18:39:25.952500,1.943,424.999,1.985,19510.971,15,2017-07-19 14:39:11.041027;
1,2017-07-19 18:39:17.800000,43.660484666666655,-79.39834766666668,164.387,26.513,249.241,3.613,1002.62,2.46,2017-07-19 18:39:40.882500,1.937,414.462,1.702,19721.754,15,2017-07-19 14:39:26.019441;
2,2017-07-19 18:39:32.800000,43.660542666666665,-79.39836555555554,166.16,26.6,232.334,3.18,1002.587,1.807,2017-07-19 18:39:55.812500,1.934,412.84,1.484,19835.161,15,2017-07-19 14:39:41.026572;
3,2017-07-19 18:39:47.800000,43.66067344444444,-79.39846588888888,160.78,26.773,231.508,2.647,1002.66,1.2,2017-07-19 18:40:10.742500,1.934,410.581,1.489,19739.711,15,2017-07-19 14:39:56.023484;
4,2017-07-19 18:40:02.800000,43.66062322222222,-79.39844233333334,155.347,26.8,250.056,3.393,1002.667,1.2,2017-07-19 18:40:25.673500,1.937,413.817,1.494,19611.799,15,2017-07-19 14:40:11.035961;
5,2017-07-19 18:40:17.300000,43.66055619047619,-79.39844547619047,156.593,26.8,254.472,2.793,1002.7,1.207,2017-07-19 18:40:40.602500,1.935,417.317,1.489,19550.968,15,2017-07-19 14:40:25.037218;
6,2017-07-19 18:40:31.800000,43.66054511111111,-79.39844211111111,156.22,26.92,246.417,2.053,1002.653,1.233,2017-07-19 18:40:55.533000,1.933,405.572,1.526,19599.825,15,2017-07-19 14:40:40.035597;
7,2017-07-19 18:40:46.750000,43.660553222222205,-79.39849711111111,155.7,27.053,229.76,1.86,1002.627,1.2,2017-07-19 18:41:10.463500,1.932,402.155,1.492,19642.968,15,2017-07-19 14:40:55.049301;
8,2017-07-19 18:41:01.800000,43.66055211111112,-79.39852222222223,155.82,27.153,227.028,1.067,1002.64,1.2,2017-07-19 18:41:25.394000,1.93,402.652,1.521,19634.236,15,2017-07-19 14:41:10.041045;
9,2017-07-19 18:41:16.800000,43.66055333333335,-79.39852044444443,155.88,27.28,253.975,0.927,1002.64,1.2,2017-07-19 18:41:40.324000,1.929,400.967,1.514,19665.65,15,2017-07-19 14:41:25.044518;
10,2017-07-19 18:41:31.800000,43.660552222222215,-79.39851999999999,155.993,27.3,271.914,0.973,1002.56,1.147,2017-07-19 18:41:55.255500,1.93,407.606,1.517,19727.911,15,2017-07-19 14:41:40.041468;
11,2017-07-19 18:41:46.800000,43.66055333333335,-79.39851999999999,156.107,27.407,259.606,1.853,1002.54,1.193,2017-07-19 18:42:10.185500,1.93,402.099,1.521,19754.107,15,2017-07-19 14:41:55.047405;
12,2017-07-19 18:42:01.800000,43.66055422222223,-79.39851866666665,156.307,27.5,250.269,1.88,1002.62,1.247,2017-07-19 18:42:25.115000,1.932,405.131,1.577,19783.658,15,2017-07-19 14:42:10.040639;
13,2017-07-19 18:42:16.800000,43.66055366666668,-79.39851966666666,156.44,27.533,255.996,1.973,1002.553,1.207,2017-07-19 18:42:40.045500,1.938,411.357,1.549,20031.63,15,2017-07-19 14:42:25.050382;
14,2017-07-19 18:42:31.800000,43.66055477777778,-79.39851633333333,156.6,27.673,275.309,1.78,1002.507,1.187,2017-07-19 18:42:54.975000,1.939,409.433,1.574,20169.715,15,2017-07-19 14:42:40.036276;
15,2017-07-19 18:42:46.800000,43.660552333333314,-79.39851755555556,156.533,27.767,258.959,1.127,1002.5,1.1,2017-07-19 18:43:09.905000,1.932,414.428,1.597,20147.475,15,2017-07-19 14:42:55.045813;
16,2017-07-19 18:43:01.750000,43.66055044444444,-79.39852599999999,156.613,27.76,294.621,3.74,1002.453,1.1,2017-07-19 18:43:24.834500,1.93,412.59,1.644,20138.195,15,2017-07-19 14:43:10.050653;
17,2017-07-19 18:43:16.800000,43.660824777777776,-79.39875877777779,157.14,27.907,147.956,3.333,1002.533,1.1,2017-07-19 18:43:39.764500,1.93,404.266,1.579,20125.663,15,2017-07-19 14:43:25.054727;
18,2017-07-19 18:43:31.800000,43.661332,-79.39913188888889,132.94,28.08,157.526,3.9,1002.52,1.127,2017-07-19 18:43:54.695000,1.931,402.708,1.646,20243.899,15,2017-07-19 14:43:40.047002;
19,2017-07-19 18:43:46.750000,43.66140244444444,-79.39915555555557,119.48,28.2,129.923,0.947,1002.553,1.16,2017-07-19 18:44:09.625500,1.934,402.428,1.427,20158.901,15,2017-07-19 14:43:55.036629;
20,2017-07-19 18:44:01.250000,43.66167988095238,-79.3992763095238,111.85,28.264,167.762,1.6,1002.607,1.007,2017-07-19 18:44:24.555500,1.927,402.312,1.487,20077.873,15,2017-07-19 14:44:09.054887;
21,2017-07-19 18:44:15.800000,43.66201699999999,-79.39939444444444,120.947,28.3,11.197,1.14,1002.553,0.9,2017-07-19 18:44:39.485500,1.927,408.885,1.314,20295.168,15,2017-07-19 14:44:24.048813;
22,2017-07-19 18:44:30.800000,43.66241733333334,-79.39961166666666,118.667,28.38,4.358,2.733,1002.453,0.9,2017-07-19 18:44:54.415500,1.926,412.096,1.321,20575.568,15,2017-07-19 14:44:39.065137;
23,2017-07-19 18:44:45.800000,43.662752777777776,-79.39975855555556,128.94,28.253,25.922,4.467,1002.307,0.9,2017-07-19 18:45:09.345500,1.928,420.489,1.385,20748.225,15,2017-07-19 14:44:54.052891;
24,2017-07-19 18:45:00.800000,43.66317444444445,-79.39986866666665,127.767,28.367,100.815,2.12,1002.333,0.9,2017-07-19 18:45:24.275500,1.929,419.408,1.582,20822.401,15,2017-07-19 14:45:09.073983;
25,2017-07-19 18:45:15.800000,43.66361366666667,-79.40007355555555,110.56,28.58,27.45,2.633,1002.393,0.9,2017-07-19 18:45:39.207000,1.929,419.354,1.643,20834.172,15,2017-07-19 14:45:24.058107;
26,2017-07-19 18:45:30.800000,43.66407566666667,-79.40028177777778,114.173,28.327,41.917,3.14,1002.287,1.04,2017-07-19 18:45:54.137000,1.93,431.93,1.703,20873.601,15,2017-07-19 14:45:39.050416;
27,2017-07-19 18:45:45.750000,43.66451544444444,-79.40042988888891,117.207,28.513,95.803,0.807,1002.273,0.913,2017-07-19 18:46:09.066500,1.931,424.51,1.648,20778.171,15,2017-07-19 14:45:54.059161;
28,2017-07-19 18:46:00.800000,43.66490711111111,-79.40058577777776,119.12,28.607,100.447,0.767,1002.247,0.9,2017-07-19 18:46:23.997000,1.934,437.833,1.656,20575.353,15,2017-07-19 14:46:09.071145;
29,2017-07-19 18:46:15.800000,43.66526555555557,-79.40074233333333,119.787,28.727,12.189,0.693,1002.127,0.9,2017-07-19 18:46:38.927000,1.938,449.397,1.815,20388.093,15,2017-07-19 14:46:24.063703;
30,2017-07-19 18:46:30.750000,43.66562422222221,-79.40085955555554,122.853,28.8,321.731,1.333,1002.053,0.9,2017-07-19 18:46:53.856500,1.942,462.648,1.825,20256.685,15,2017-07-19 14:46:39.072013;
31,2017-07-19 18:46:45.700000,43.666021444444446,-79.401038,117.7,28.8,283.262,0.86,1001.94,0.913,2017-07-19 18:47:08.786500,1.946,469.136,1.995,20165.976,15,2017-07-19 14:46:54.070827;
32,2017-07-19 18:47:00.700000,43.66643888888888,-79.40119955555556,117.66,28.8,316.404,1.427,1001.833,0.9,2017-07-19 18:47:23.717000,1.945,466.467,2.133,20043.387,15,2017-07-19 14:47:09.060861;
33,2017-07-19 18:47:15.700000,43.66695744444444,-79.40140266666667,120.02,28.82,59.617,1.293,1001.72,0.9,2017-07-19 18:47:38.647000,1.941,450.442,2.038,19901.974,15,2017-07-19 14:47:24.068194;
34,2017-07-19 18:47:30.200000,43.66751738095239,-79.4016817857143,123.264,28.971,73.689,1.007,1001.636,0.914,2017-07-19 18:47:53.577500,1.942,438.469,1.943,19801.816,15,2017-07-19 14:47:38.080413;
35,2017-07-19 18:47:44.750000,43.668027888888886,-79.40184677777778,114.453,28.953,18.715,2.233,1001.6,0.913,2017-07-19 18:48:08.507500,1.939,432.361,1.82,19801.019,15,2017-07-19 14:47:53.065397;
36,2017-07-19 18:47:59.800000,43.66854788888888,-79.40203844444444,116.633,28.953,33.861,2.033,1001.52,0.907,2017-07-19 18:48:23.439000,1.938,425.831,1.732,19800.636,15,2017-07-19 14:48:08.084193;
37,2017-07-19 18:48:14.800000,43.66903,-79.40224677777778,117.94,28.987,34.076,1.267,1001.473,0.907,2017-07-19 18:48:38.370000,1.934,413.761,1.715,19666.085,15,2017-07-19 14:48:23.068407;
38,2017-07-19 18:48:29.800000,43.669412,-79.40237988888889,113.24,29.16,47.547,1.7,1001.42,0.9,2017-07-19 18:48:53.300500,1.931,412.095,1.705,19562.699,15,2017-07-19 14:48:38.085066;
39,2017-07-19 18:48:44.800000,43.66991,-79.40256133333332,114.147,29.24,110.071,0.833,1001.407,0.9,2017-07-19 18:49:08.229500,1.929,408.008,1.598,19632.766,15,2017-07-19 14:48:53.072356;
40,2017-07-19 18:48:59.800000,43.67047377777779,-79.40278711111112,113.393,29.22,76.587,2.1,1001.427,0.9,2017-07-19 18:49:23.160500,1.928,408.237,1.612,19807.223,15,2017-07-19 14:49:08.077834;
