gps_time, lat, lon, alt, temp, wd_corr, ws_corr, pressure, hdop, lgr_time, ch4_d, co2_d, co_d, h2o, avg, comp_time;
2017-07-14 15:04:43,43.66061666666668,-79.39853322222224,133.82,19.027,231.055,0.773,1001.487,2.56,2017-07-14 15:05:01.836500,1.94,418.874,1.397,19870.401,15,2017-07-14 11:04:55.558560;
2017-07-14 15:04:58,43.660619222222216,-79.3985297777778,134.827,19.1,215.865,0.593,1001.5,1.5,2017-07-14 15:05:16.767500,1.94,419.739,1.476,19942.655,15,2017-07-14 11:05:05.583105;
2017-07-14 15:05:13,43.660604555555544,-79.39853622222222,135.747,19.187,232.351,1.093,1001.5,1.427,2017-07-14 15:05:31.697500,1.941,425.337,1.467,20034.075,15,2017-07-14 11:05:20.593289;
2017-07-14 15:05:28,43.66058011111111,-79.39856099999999,135.76,19.2,234.901,1.153,1001.46,1.16,2017-07-14 15:05:46.627500,1.942,422.531,1.617,20045.207,15,2017-07-14 11:05:35.577953;
2017-07-14 15:05:43,43.6605791111111,-79.39857711111112,135.6,19.2,240.011,1.467,1001.473,0.94,2017-07-14 15:06:01.561500,1.942,422.939,1.513,20069.463,15,2017-07-14 11:05:50.598491;
2017-07-14 15:05:57.500000,43.66059869047617,-79.3985838095238,139.271,19.2,239.645,1.486,1001.471,0.929,2017-07-14 15:06:16.500500,1.943,424.854,1.598,20131.499,15,2017-07-14 11:06:04.584934;
2017-07-14 15:06:12,43.660590333333325,-79.39859755555557,143.347,19.2,244.97,2.047,1001.48,0.9,2017-07-14 15:06:31.438500,1.944,422.664,1.66,20073.312,15,2017-07-14 11:06:19.598251;
2017-07-14 15:06:27,43.66058855555555,-79.3986168888889,147.867,19.2,240.988,2.253,1001.467,1.02,2017-07-14 15:06:46.369000,1.944,421.286,1.572,20097.997,15,2017-07-14 11:06:34.593447;
2017-07-14 15:06:42,43.660588666666655,-79.39863288888888,150.433,19.26,241.304,2.147,1001.447,1.233,2017-07-14 15:07:01.298500,1.945,420.051,1.611,20084.174,15,2017-07-14 11:06:49.596171;
2017-07-14 15:06:57,43.66058222222221,-79.39864833333331,151.647,19.3,243.672,2.167,1001.44,1.047,2017-07-14 15:07:16.227500,1.946,419.696,1.48,20108.053,15,2017-07-14 11:07:04.604913;
2017-07-14 15:07:12,43.660575888888886,-79.3986563333333,152.067,19.3,243.656,1.807,1001.427,1.187,2017-07-14 15:07:31.158000,1.948,418.541,1.555,20068.891,15,2017-07-14 11:07:19.606527;
2017-07-14 15:07:27,43.66058299999999,-79.3986728888889,151.067,19.3,240.416,2.153,1001.433,0.933,2017-07-14 15:07:46.088500,1.951,418.668,1.455,20003.041,15,2017-07-14 11:07:34.596909;
2017-07-14 15:07:42,43.660604111111105,-79.39870155555556,151.173,19.387,235.724,1.487,1001.413,0.953,2017-07-14 15:08:01.020000,1.955,418.949,1.547,20092.279,15,2017-07-14 11:07:49.613393;
2017-07-14 15:07:57,43.66063322222222,-79.39870566666667,151.747,19.46,233.463,1.173,1001.447,1.1,2017-07-14 15:08:15.949500,1.954,419.925,1.61,20137.311,15,2017-07-14 11:08:04.607112;
2017-07-14 15:08:12,43.66065244444446,-79.39870233333333,153.367,19.46,240.265,2.607,1001.413,1.067,2017-07-14 15:08:30.879500,1.955,420.846,1.56,20157.253,15,2017-07-14 11:08:19.611200;
2017-07-14 15:08:27,43.66066966666665,-79.39873322222222,154.293,19.4,242.308,2.973,1001.38,0.98,2017-07-14 15:08:45.809500,1.955,419.927,1.501,20145.649,15,2017-07-14 11:08:34.611075;
2017-07-14 15:08:42,43.66068555555557,-79.39875722222224,154.613,19.4,240.685,2.527,1001.36,0.9,2017-07-14 15:09:00.740000,1.954,418.365,1.533,20164.783,15,2017-07-14 11:08:49.599161;
2017-07-14 15:08:57,43.66069955555556,-79.39875255555556,155.053,19.467,247.501,2.633,1001.353,0.9,2017-07-14 15:09:15.671000,1.953,417.517,1.506,20102.442,15,2017-07-14 11:09:04.611004;
2017-07-14 15:09:12,43.660711111111105,-79.39875844444445,153.78,19.4,250.45,2.44,1001.347,0.9,2017-07-14 15:09:30.601500,1.951,418.126,1.479,20108.443,15,2017-07-14 11:09:19.600399;
2017-07-14 15:09:26.500000,43.6607238095238,-79.39875607142856,153.079,19.4,249.488,2.921,1001.35,0.914,2017-07-14 15:09:45.532500,1.953,419.131,1.497,20109.105,15,2017-07-14 11:09:33.607911;
2017-07-14 15:09:41,43.660734000000005,-79.39875555555554,153.36,19.413,248.127,2.553,1001.427,0.9,2017-07-14 15:10:00.461000,1.956,419.076,1.421,20107.433,15,2017-07-14 11:09:48.614905;
2017-07-14 15:09:56,43.660743444444456,-79.39874433333333,154.527,19.5,248.293,2.207,1001.373,0.92,2017-07-14 15:10:15.391500,1.956,418.904,1.408,20121.493,15,2017-07-14 11:10:03.609782;
2017-07-14 15:10:11,43.660753,-79.39872733333333,154.827,19.5,248.608,2.6,1001.387,0.96,2017-07-14 15:10:30.323500,1.955,418.388,1.437,20180.482,15,2017-07-14 11:10:18.621102;
2017-07-14 15:10:26,43.66076388888887,-79.39871844444446,154.067,19.533,244.741,1.833,1001.42,0.913,2017-07-14 15:10:45.253000,1.956,418.441,1.382,20163.61,15,2017-07-14 11:10:33.615194;
2017-07-14 15:10:41,43.66077155555557,-79.39871711111113,152.753,19.6,247.125,1.74,1001.407,0.967,2017-07-14 15:11:00.182500,1.957,418.395,1.268,20211.195,15,2017-07-14 11:10:48.608018;
2017-07-14 15:10:56,43.66077055555556,-79.39872711111111,151.8,19.6,246.546,2.04,1001.44,1.167,2017-07-14 15:11:15.116500,1.956,419.072,1.367,20281.318,15,2017-07-14 11:11:03.620065;
2017-07-14 15:11:11,43.66076644444444,-79.39872922222223,150.6,19.6,246.692,1.987,1001.427,1.413,2017-07-14 15:11:30.077500,1.959,419.424,1.298,20294.569,15,2017-07-14 11:11:18.620377;
2017-07-14 15:11:26,43.660764999999984,-79.39874677777776,150.56,19.6,239.983,1.76,1001.427,0.94,2017-07-14 15:11:45.043500,1.96,419.948,1.359,20286.966,15,2017-07-14 11:11:33.629950;
2017-07-14 15:11:41,43.66076777777777,-79.39877500000001,150.18,19.6,243.534,1.42,1001.413,0.967,2017-07-14 15:11:59.979000,1.96,421.398,1.264,20323.527,15,2017-07-14 11:11:48.634057;
2017-07-14 15:11:56,43.660781,-79.39878599999999,149.567,19.6,253.287,1.973,1001.433,1.06,2017-07-14 15:12:14.929000,1.96,421.524,1.322,20369.282,15,2017-07-14 11:12:03.629161;
2017-07-14 15:12:11,43.660785888888896,-79.39878166666668,149.287,19.6,254.682,2.66,1001.407,1.34,2017-07-14 15:12:29.877000,1.96,421.714,1.369,20383.363,15,2017-07-14 11:12:18.623178;
2017-07-14 15:12:26,43.660786777777794,-79.39878066666667,149.953,19.6,253.139,2.413,1001.387,0.913,2017-07-14 15:12:44.805500,1.963,422.543,1.235,20428.633,15,2017-07-14 11:12:33.622780;
2017-07-14 15:12:41,43.66078911111113,-79.3987901111111,149.767,19.6,251.296,2.213,1001.407,0.953,2017-07-14 15:12:59.735000,1.964,422.535,1.365,20433.951,15,2017-07-14 11:12:48.627993;
2017-07-14 15:12:56,43.660791666666675,-79.39879344444446,149.433,19.6,252.909,2.14,1001.373,0.9,2017-07-14 15:13:14.665000,1.964,422.155,1.293,20363.969,15,2017-07-14 11:13:03.616675;
2017-07-14 15:13:11,43.66082077777778,-79.39882800000001,147.587,19.6,280.016,1.72,1001.373,0.9,2017-07-14 15:13:29.595000,1.964,422.131,1.598,20484.764,15,2017-07-14 11:13:18.631778;
2017-07-14 15:13:25.500000,43.66109833333333,-79.39902904761904,129.814,19.6,120.457,0.807,1001.414,0.9,2017-07-14 15:13:44.524500,1.963,421.99,1.548,20482.509,15,2017-07-14 11:13:32.630298;
2017-07-14 15:13:40,43.66132566666667,-79.39902544444446,119.613,19.653,171.615,1.42,1001.433,0.9,2017-07-14 15:13:59.455000,1.957,420.671,1.287,20420.165,15,2017-07-14 11:13:47.626951;
2017-07-14 15:13:55,43.661050777777774,-79.39905333333333,120.933,19.633,178.762,2.373,1001.48,0.9,2017-07-14 15:14:14.386500,1.961,422.558,1.581,20544.021,15,2017-07-14 11:14:02.644255;
2017-07-14 15:14:10,43.660468888888886,-79.39882055555557,121.78,19.427,164.816,2.527,1001.46,0.9,2017-07-14 15:14:29.318000,1.958,424.024,1.713,20548.325,15,2017-07-14 11:14:17.631390;
2017-07-14 15:14:25,43.66014777777778,-79.39845044444445,109.54,19.447,113.191,1.58,1001.46,0.9,2017-07-14 15:14:44.248500,1.972,426.578,1.876,20607.205,15,2017-07-14 11:14:32.644961;
2017-07-14 15:14:40,43.66030277777778,-79.39760399999999,112.22,19.4,24.255,0.807,1001.5,0.907,2017-07-14 15:14:59.178500,1.984,430.787,1.845,20640.86,15,2017-07-14 11:14:47.638983;
