gps_time, lat, lon, alt, temp, wd_corr, ws_corr, pressure, hdop, lgr_time, ch4_d, co2_d, co_d, h2o, avg, comp_time;
2017-07-07 17:45:08.200000,43.66082135416666,-79.39884802083333,127.488,25.5,163.416,2.988,994.625,1.65,2017-07-07 17:45:22.224500,1.993,430.063,1.417,19488.997,15,2017-07-07 13:45:16.240867;
2017-07-07 17:45:23.700000,43.6608248888889,-79.39884711111112,127.5,25.527,163.665,1.46,994.627,1.487,2017-07-07 17:45:37.171500,1.99,433.352,1.443,19497.364,15,2017-07-07 13:45:31.241925;
2017-07-07 17:45:38.700000,43.660830000000004,-79.39884644444444,127.547,25.6,159.898,1.573,994.66,1.4,2017-07-07 17:45:52.113500,1.99,434.6,1.432,19504.477,15,2017-07-07 13:45:46.227353;
2017-07-07 17:45:53.700000,43.660836444444456,-79.39884544444445,127.747,25.6,152.531,1.627,994.66,1.433,2017-07-07 17:46:07.071500,1.989,432.269,1.423,19535.065,15,2017-07-07 13:46:01.244042;
2017-07-07 17:46:08.700000,43.66083988888889,-79.39884755555555,127.813,25.6,149.422,1.313,994.66,1.413,2017-07-07 17:46:22.026500,1.986,429.487,1.436,19584.702,15,2017-07-07 13:46:16.245091;
2017-07-07 17:46:23.700000,43.66084288888889,-79.39884833333333,128.02,25.573,156.131,2.207,994.707,1.4,2017-07-07 17:46:36.972000,1.986,429.567,1.402,19604.883,15,2017-07-07 13:46:31.230523;
2017-07-07 17:46:38.700000,43.660839444444456,-79.39885277777779,128.007,25.42,152.656,2.527,994.7,1.407,2017-07-07 17:46:51.907500,1.981,427.707,1.384,19622.919,15,2017-07-07 13:46:46.247206;
2017-07-07 17:46:53.700000,43.66083133333335,-79.39885877777778,127.713,25.347,155.017,3.093,994.667,1.493,2017-07-07 17:47:06.843500,1.976,426.369,1.505,19545.921,15,2017-07-07 13:47:01.232635;
2017-07-07 17:47:08.700000,43.660827000000005,-79.39885877777779,127.473,25.3,153.282,3.133,994.653,1.453,2017-07-07 17:47:21.773000,1.973,425.619,1.386,19472.714,15,2017-07-07 13:47:16.249318;
2017-07-07 17:47:23.200000,43.660822738095234,-79.3988607142857,127.4,25.286,159.496,3.293,994.643,1.4,2017-07-07 17:47:36.702500,1.976,425.734,1.43,19446.118,15,2017-07-07 13:47:30.250304;
2017-07-07 17:47:37.700000,43.6608201111111,-79.39885788888888,127.42,25.2,158.537,3.553,994.64,1.46,2017-07-07 17:47:51.632000,1.975,425.767,1.391,19435.68,15,2017-07-07 13:47:45.245141;
2017-07-07 17:47:52.700000,43.66081833333332,-79.39884988888889,127.7,25.173,158.381,2.853,994.673,1.4,2017-07-07 17:48:06.561500,1.973,425.594,1.351,19420.504,15,2017-07-07 13:48:00.259745;
2017-07-07 17:48:07.700000,43.66081833333332,-79.39884533333331,127.927,25.193,162.644,2.547,994.68,1.407,2017-07-07 17:48:21.491500,1.976,425.864,1.429,19423.236,15,2017-07-07 13:48:15.248909;
2017-07-07 17:48:22.700000,43.66081833333332,-79.39884922222222,128.193,25.2,152.056,2.1,994.653,1.407,2017-07-07 17:48:36.448000,1.981,426.611,1.479,19469.789,15,2017-07-07 13:48:30.257919;
2017-07-07 17:48:37.700000,43.66081933333333,-79.3988547777778,128.733,25.2,156.897,2.327,994.733,1.46,2017-07-07 17:48:51.411000,1.983,426.972,1.458,19520.472,15,2017-07-07 13:48:45.257508;
2017-07-07 17:48:52.750000,43.66082622222222,-79.39886144444445,129.793,25.16,144.609,2.053,994.693,1.587,2017-07-07 17:49:06.353500,1.984,427.642,1.457,19538.821,15,2017-07-07 13:49:00.269787;
2017-07-07 17:49:07.750000,43.66083200000001,-79.39887711111109,131.153,25.287,149.313,1.073,994.72,1.58,2017-07-07 17:49:21.288500,1.986,427.138,1.491,19540.536,15,2017-07-07 13:49:15.264943;
2017-07-07 17:49:22.750000,43.66083055555556,-79.39890366666668,132.827,25.24,165.278,2.527,994.727,1.313,2017-07-07 17:49:36.234500,1.989,427.063,1.519,19540.401,15,2017-07-07 13:49:30.272568;
2017-07-07 17:49:37.800000,43.660825888888894,-79.39890711111111,133.64,25.2,164.032,2.46,994.693,1.367,2017-07-07 17:49:51.186500,1.99,427.071,1.469,19554.212,15,2017-07-07 13:49:45.269658;
2017-07-07 17:49:52.800000,43.660822333333314,-79.39891044444445,134.347,25.1,159.563,3.813,994.68,1.38,2017-07-07 17:50:06.120000,1.991,427.372,1.503,19599.98,15,2017-07-07 13:50:00.274127;
2017-07-07 17:50:07.800000,43.66081999999999,-79.39891711111112,135.387,25.0,153.333,3.247,994.687,1.4,2017-07-07 17:50:21.065000,1.988,427.085,1.45,19622.721,15,2017-07-07 13:50:15.273300;
2017-07-07 17:50:22.800000,43.66081688888888,-79.39892899999998,136.967,25.0,156.633,4.013,994.66,1.34,2017-07-07 17:50:36.022500,1.986,427.087,1.527,19601.029,15,2017-07-07 13:50:30.272452;
2017-07-07 17:50:37.800000,43.66082122222223,-79.3989468888889,139.06,24.907,158.807,3.54,994.66,1.353,2017-07-07 17:50:50.974500,1.982,427.353,1.543,19589.536,15,2017-07-07 13:50:45.273759;
2017-07-07 17:50:52.700000,43.66083055555556,-79.39895411111114,140.88,24.9,155.914,3.213,994.64,1.48,2017-07-07 17:51:05.909500,1.981,430.929,1.512,19570.342,15,2017-07-07 13:51:00.260044;
2017-07-07 17:51:07.800000,43.66083577777779,-79.39895766666667,142.82,24.84,160.843,3.5,994.7,1.3,2017-07-07 17:51:20.840000,1.982,427.268,1.512,19561.413,15,2017-07-07 13:51:15.278130;
2017-07-07 17:51:22.300000,43.660837619047626,-79.39895869047619,143.871,24.8,159.695,3.921,994.686,1.336,2017-07-07 17:51:35.770000,1.979,427.043,1.564,19567.914,15,2017-07-07 13:51:29.271522;
2017-07-07 17:51:36.800000,43.6608348888889,-79.39896488888888,144.573,24.8,158.328,2.947,994.7,1.34,2017-07-07 17:51:50.698500,1.98,426.822,1.529,19569.728,15,2017-07-07 13:51:44.292223;
2017-07-07 17:51:51.800000,43.66083311111113,-79.39897999999998,145.86,24.827,159.055,2.887,994.7,1.32,2017-07-07 17:52:05.629000,1.993,427.095,1.467,19572.328,15,2017-07-07 13:51:59.276664;
2017-07-07 17:52:06.800000,43.66082877777778,-79.3989778888889,146.427,24.893,157.307,3.687,994.733,1.36,2017-07-07 17:52:20.559000,1.998,427.943,1.515,19627.304,15,2017-07-07 13:52:14.290470;
2017-07-07 17:52:21.800000,43.660823222222206,-79.39897711111112,146.72,24.74,155.19,3.693,994.713,1.42,2017-07-07 17:52:35.497000,1.992,428.277,1.512,19672.722,15,2017-07-07 13:52:29.279024;
2017-07-07 17:52:36.800000,43.66081066666665,-79.39897433333331,146.947,24.7,155.403,3.34,994.707,1.4,2017-07-07 17:52:50.434500,1.986,427.753,1.49,19630.773,15,2017-07-07 13:52:44.289034;
2017-07-07 17:52:51.800000,43.66081211111111,-79.39898055555555,147.193,24.72,147.513,2.347,994.733,1.373,2017-07-07 17:53:05.383500,1.984,427.476,1.499,19648.279,15,2017-07-07 13:52:59.282339;
2017-07-07 17:53:06.800000,43.66080644444444,-79.39899000000001,147.573,24.8,154.569,2.667,994.74,1.44,2017-07-07 17:53:20.337000,1.984,427.428,1.489,19672.327,15,2017-07-07 13:53:14.276000;
2017-07-07 17:53:21.800000,43.66080133333333,-79.39899744444446,148.513,24.773,159.972,3.72,994.727,1.447,2017-07-07 17:53:35.269500,1.987,427.804,1.529,19736.949,15,2017-07-07 13:53:29.300174;
