gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-07-18 15:21:20.400000,136.1,26.321616772,1.84291943542,1.86773898885,1.94590881959,1.67073508073,412.253541887,417.805579643,413.300087325,1.69323680585,211.3,140.636395013,13288.7030748,1.0,311.6,43.6370616667,-79.5367066667,1004.1,6.49341006937,7.18894957228,0.0,25.6139586465,23.0,250.9,300.7,0.7,1.0
2018-07-18 15:21:21.400000,136.3,26.3277779007,1.84476241004,1.86939845967,1.94760508406,1.23793559702,412.111947502,417.615569997,413.111286208,1.25448017689,356.7,140.617988149,13178.6843856,1.0,311.6,43.6370683333,-79.5367033333,1004.1,6.49180189716,7.18588120605,0.0,25.6140969115,23.0,154.5,201.8,0.8,1.6
2018-07-18 15:21:22.400000,136.6,26.3314052745,1.84304762175,1.86764226956,1.94580995585,1.24153903068,411.722964061,417.217104216,412.715354812,1.25810714936,296.8,140.634488464,13168.679351,1.0,311.7,43.6370766667,-79.536705,1004.1,6.49391132612,7.1868446001,0.0,25.6157760621,23.0,174.4,179.2,0.2,0.4
2018-07-18 15:21:23.400000,137.4,26.3334562174,1.84357518988,1.86816019423,1.9463393639,1.25936125907,412.389522189,417.88880987,413.382788178,1.27615511921,300.7,140.62961471,13159.7726664,1.0,311.7,43.6370866667,-79.53671,1004.1,6.4960322993,7.18535156373,0.0,25.6197478117,23.0,143.5,204.1,0.7,1.2
2018-07-18 15:21:24.400000,138.4,26.3386965821,1.84500049886,1.86972017593,1.94793393339,1.40678913908,430.393023972,436.159854404,431.537622329,1.42564075178,118.8,140.627539572,13221.0835073,1.0,311.7,43.6371,-79.53672,1004.1,6.49302776554,7.18909406694,0.0,25.6185475076,23.0,171.6,227.6,0.7,1.5
2018-07-18 15:21:25.400000,139.5,26.3461388752,1.84505917763,1.86997494531,1.94819435149,1.51959593838,473.523674793,479.91930031,475.018742498,1.54011841107,133.8,140.634882689,13324.4036081,1.0,311.7,43.6371083333,-79.5367283333,1004.2,6.49435484195,7.18060181435,0.0,25.6185008429,23.0,195.5,242.8,0.9,2.1
2018-07-18 15:21:26.400000,140.5,26.351139427,1.84473493142,1.86967643028,1.94788921782,1.52812894632,500.50422985,507.271370294,502.196843528,1.54879077017,109.3,140.638672311,13340.3341218,1.0,311.7,43.63711,-79.5367333333,1004.2,6.49519319218,7.18600992435,0.0,25.6202487867,23.0,136.2,183.5,1.4,2.7
2018-07-18 15:21:27.400000,141.3,26.3570730765,1.84441739862,1.86926180422,1.9474653987,1.43518760141,508.009184339,514.852026295,509.729283844,1.45452050361,136.3,140.638867133,13290.9960876,1.0,311.6,43.63711,-79.536735,1004.1,6.4945493567,7.18369602832,0.0,25.6189190211,23.0,156.3,231.0,1.1,2.0
2018-07-18 15:21:28.400000,141.8,26.3635534585,1.84330475837,1.86809063344,1.94626826082,1.33011647746,505.167168837,511.959988016,506.855639964,1.34800248903,162.6,140.631732514,13268.2360501,1.0,311.6,43.63711,-79.5367366667,1004.2,6.49670634832,7.18194538533,0.0,25.6184922811,23.0,233.4,257.8,0.7,1.4
2018-07-18 15:21:29.400000,141.8,26.367385049,1.84330807027,1.86822565545,1.94640627652,1.4485652168,496.738746022,503.453453072,498.403209626,1.4681495247,234.8,140.630730388,13337.4424802,1.0,311.6,43.6371083333,-79.53674,1004.1,6.50165315222,7.18677896993,0.0,25.6220158603,23.0,183.8,219.0,0.7,1.2
2018-07-18 15:21:30.400000,141.6,26.370453139,1.84427976523,1.86923218799,1.94743512582,1.27858625659,487.964352212,494.566272721,489.572554923,1.2958853078,189.3,140.635826278,13348.9118253,1.0,311.7,43.63711,-79.536745,1004.2,6.4952995802,7.18665201323,0.0,25.6211179165,23.0,86.8,122.7,0.4,0.6
2018-07-18 15:21:31.400000,141.2,26.3762050469,1.84547161474,1.8704131003,1.94864222122,1.32290611451,480.299535461,486.790872488,481.846609018,1.34078498159,261.4,140.63576631,13334.876078,1.0,311.7,43.6371116667,-79.5367516667,1004.0,6.49056505099,7.19089866949,0.0,25.6209978609,23.0,31.7,76.2,0.7,1.2
2018-07-18 15:21:32.400000,140.6,26.3823818144,1.84360868084,1.868450494,1.94663610018,1.67266552675,473.241614932,479.618547877,474.719902958,1.69520175194,7.8,140.603671311,13295.7297279,1.0,311.6,43.6371116667,-79.5367616667,1004.1,6.49931024832,7.18311555732,0.0,25.624064693,23.0,8.6,57.0,0.7,1.5
2018-07-18 15:21:33.400000,139.9,26.3855753839,1.84377128412,1.86860096854,1.94678991102,1.38664727081,465.351981461,471.6188692,466.771105101,1.40532080546,168.4,140.628253266,13287.9132532,1.0,311.6,43.6371083333,-79.5367716667,1004.2,6.49781143678,7.18341843542,0.0,25.6301450862,23.0,6.4,53.1,0.9,1.9
2018-07-18 15:21:34.400000,139.3,26.390336833,1.84519274257,1.86995139245,1.94817027642,1.64307804361,459.325056421,465.488150494,460.67937996,1.66512089644,13.9,140.631079207,13239.9885834,1.0,311.6,43.637105,-79.5367766667,1004.1,6.49978146975,7.18342479074,0.0,25.633263256,23.1,346.0,37.2,1.2,2.4
2018-07-18 15:21:35.400000,138.9,26.3960516662,1.84703228113,1.87198183288,1.95024573561,1.63030599513,454.074726448,460.208019061,455.432832053,1.65232562698,64.4,140.635719197,13327.4950435,1.0,311.6,43.6370983333,-79.536775,1004.1,6.49755570095,7.18723312094,0.0,25.6321664021,23.1,353.8,40.2,1.4,2.7
2018-07-18 15:21:36.400000,138.7,26.3951918565,1.84669417737,1.87163817834,1.94989446159,1.46184348987,449.738172723,455.812803014,451.065571152,1.48158931606,0.8,140.66490122,13327.1029614,1.0,311.6,43.6370966667,-79.5367683333,1004.1,6.49404500845,7.18219074187,0.0,25.6340612261,23.1,349.2,35.7,1.0,2.2
2018-07-18 15:21:37.400000,138.6,26.4022007491,1.84680771139,1.871802851,1.95006278536,1.24735927856,444.748544062,450.767674633,446.052531594,1.26423917798,290.9,140.636095013,13353.2058075,1.0,311.6,43.6370966667,-79.5367566667,1004.1,6.49475180175,7.18197811707,0.0,25.6265871473,23.1,339.2,29.0,1.3,2.5
